Context,SelectedPerHead,Method,Requests,Cycles,BandwidthGBps,Speedup,RowHitPct,RowConflictPct,ChannelSkew
16K,1638,Baseline,52416,1406111,1.91,1.00,0.0,99.9,1.00
16K,1638,Hash,52416,934445,2.87,1.50,0.0,99.9,1.00
16K,1638,SGU,5568,252393,10.63,5.57,0.0,99.9,1.00
16K,1638,Hash+SGU,4352,167805,15.99,8.38,28.6,71.3,1.00
32K,3276,Baseline,104832,2835245,1.89,1.00,0.0,100.0,1.00
32K,3276,Hash,104832,1869029,2.87,1.52,0.0,100.0,1.00
32K,3276,SGU,9664,439293,12.22,6.45,0.0,100.0,1.00
32K,3276,Hash+SGU,6464,310833,17.27,9.12,18.3,81.7,1.00
64K,6553,Baseline,209696,5667628,1.89,1.00,0.0,100.0,1.00
64K,6553,Hash,209696,2636433,4.07,2.15,0.0,100.0,1.00
64K,6553,SGU,17504,796671,13.48,7.11,0.0,100.0,1.00
64K,6553,Hash+SGU,11584,607458,17.67,9.33,18.9,81.1,1.00
128K,13107,Baseline,419424,11304426,1.90,1.00,0.0,100.0,1.00
128K,13107,Hash,419424,1573857,13.64,7.18,0.0,100.0,1.00
128K,13107,SGU,32608,1484021,14.47,7.62,0.0,100.0,1.00
128K,13107,Hash+SGU,19872,1139102,18.85,9.92,25.5,74.5,1.00
256K,26214,Baseline,838848,22667928,1.89,1.00,0.0,100.0,1.00
256K,26214,Hash,838848,2069133,20.76,10.96,0.1,99.9,1.00
256K,26214,SGU,62752,2857299,15.03,7.93,0.0,100.0,1.00
256K,26214,Hash+SGU,37152,2049330,20.96,11.06,46.9,53.1,1.00
512K,52428,Baseline,1677696,45400660,1.89,1.00,0.0,100.0,1.00
512K,52428,Hash,1677696,5875721,14.62,7.73,0.0,100.0,1.00
512K,52428,SGU,125952,5736418,14.97,7.91,0.0,100.0,1.00
512K,52428,Hash+SGU,74496,4078604,21.06,11.13,47.0,53.0,1.00
