context_length,sparsity_ratio,num_channels,group_id,stage,start_cycle,end_cycle,duration_cycles
65536,0.1,16,0,P,1,16529,16528
65536,0.1,16,0,F,16530,48534,32004
65536,0.1,16,0,C,48535,74797,26262
65536,0.1,16,1,P,16529,33057,16528
65536,0.1,16,1,F,48534,80593,32059
65536,0.1,16,1,C,80594,106856,26262
65536,0.1,16,2,P,33057,49585,16528
65536,0.1,16,2,F,80593,112714,32121
65536,0.1,16,2,C,112715,138977,26262
65536,0.1,16,3,P,49585,66113,16528
65536,0.1,16,3,F,112714,144870,32156
65536,0.1,16,3,C,144871,171133,26262
65536,0.1,16,4,P,66113,82641,16528
65536,0.1,16,4,F,144870,176321,31451
65536,0.1,16,4,C,176322,202584,26262
65536,0.1,16,5,P,82641,99169,16528
65536,0.1,16,5,F,176321,207912,31591
65536,0.1,16,5,C,207913,234175,26262
65536,0.1,16,6,P,99169,115697,16528
65536,0.1,16,6,F,207912,239257,31345
65536,0.1,16,6,C,239258,265520,26262
65536,0.1,16,7,P,115697,132225,16528
65536,0.1,16,7,F,239257,271369,32112
65536,0.1,16,7,C,271370,297632,26262
