label,num_channels,group_id,stage,start_cycle,end_cycle,duration_cycles
4ch,4,0,P,1,8337,8336
4ch,4,0,F,8338,79951,71613
4ch,4,0,C,79952,86914,6962
4ch,4,1,P,8337,16673,8336
4ch,4,1,F,79951,150044,70093
4ch,4,1,C,150045,157007,6962
4ch,4,2,P,16673,25009,8336
4ch,4,2,F,150044,221185,71141
4ch,4,2,C,221186,228148,6962
4ch,4,3,P,25009,33345,8336
4ch,4,3,F,221185,293637,72452
4ch,4,3,C,293638,300600,6962
4ch,4,4,P,33345,41681,8336
4ch,4,4,F,293637,365669,72032
4ch,4,4,C,365670,372632,6962
4ch,4,5,P,41681,50017,8336
4ch,4,5,F,365669,436758,71089
4ch,4,5,C,436759,443721,6962
4ch,4,6,P,50017,58353,8336
4ch,4,6,F,436758,507323,70565
4ch,4,6,C,507324,514286,6962
4ch,4,7,P,58353,66689,8336
4ch,4,7,F,507323,576918,69595
4ch,4,7,C,576919,583881,6962
8ch,8,0,P,1,8337,8336
8ch,8,0,F,8338,48632,40294
8ch,8,0,C,48633,55595,6962
8ch,8,1,P,8337,16673,8336
8ch,8,1,F,48632,90158,41526
8ch,8,1,C,90159,97121,6962
8ch,8,2,P,16673,25009,8336
8ch,8,2,F,90158,132077,41919
8ch,8,2,C,132078,139040,6962
8ch,8,3,P,25009,33345,8336
8ch,8,3,F,132077,175883,43806
8ch,8,3,C,175884,182846,6962
8ch,8,4,P,33345,41681,8336
8ch,8,4,F,175883,216361,40478
8ch,8,4,C,216362,223324,6962
8ch,8,5,P,41681,50017,8336
8ch,8,5,F,216361,258621,42260
8ch,8,5,C,258622,265584,6962
8ch,8,6,P,50017,58353,8336
8ch,8,6,F,258621,301353,42732
8ch,8,6,C,301354,308316,6962
8ch,8,7,P,58353,66689,8336
8ch,8,7,F,301353,343692,42339
8ch,8,7,C,343693,350655,6962
16ch,16,0,P,1,8337,8336
16ch,16,0,F,8338,29055,20717
16ch,16,0,C,29056,36018,6962
16ch,16,1,P,8337,16673,8336
16ch,16,1,F,29055,49615,20560
16ch,16,1,C,49616,56578,6962
16ch,16,2,P,16673,25009,8336
16ch,16,2,F,49615,71118,21503
16ch,16,2,C,71119,78081,6962
16ch,16,3,P,25009,33345,8336
16ch,16,3,F,71118,93119,22001
16ch,16,3,C,93120,100082,6962
16ch,16,4,P,33345,41681,8336
16ch,16,4,F,93119,115356,22237
16ch,16,4,C,115357,122319,6962
16ch,16,5,P,41681,50017,8336
16ch,16,5,F,115356,135916,20560
16ch,16,5,C,135917,142879,6962
16ch,16,6,P,50017,58353,8336
16ch,16,6,F,135916,158179,22263
16ch,16,6,C,158180,165142,6962
16ch,16,7,P,58353,66689,8336
16ch,16,7,F,158179,178634,20455
16ch,16,7,C,178635,185597,6962
32ch,32,0,P,1,8337,8336
32ch,32,0,F,8338,19699,11361
32ch,32,0,C,19700,26662,6962
32ch,32,1,P,8337,16673,8336
32ch,32,1,F,19699,31741,12042
32ch,32,1,C,31742,38704,6962
32ch,32,2,P,16673,25009,8336
32ch,32,2,F,31741,43180,11439
32ch,32,2,C,43181,50143,6962
32ch,32,3,P,25009,33345,8336
32ch,32,3,F,43180,54672,11492
32ch,32,3,C,54673,61635,6962
32ch,32,4,P,33345,41681,8336
32ch,32,4,F,54672,67343,12671
32ch,32,4,C,67344,74306,6962
32ch,32,5,P,41681,50017,8336
32ch,32,5,F,67343,78704,11361
32ch,32,5,C,78705,85667,6962
32ch,32,6,P,50017,58353,8336
32ch,32,6,F,78704,89829,11125
32ch,32,6,C,89830,96792,6962
32ch,32,7,P,58353,66689,8336
32ch,32,7,F,89829,101032,11203
32ch,32,7,C,101033,107995,6962
