context_length,sparsity_ratio,num_channels,selected_kv_per_group,total_cycles,serial_cycles,speedup_vs_serial,normalized_performance,avg_p_cycles,avg_f_cycles,avg_c_cycles
16384,0.0100,16,163,35828,48574,1.3558,1.3558,4240.0000,1129.7500,702.0000
16384,0.0500,16,819,41308,92834,2.2474,2.2474,4240.0000,4038.2500,3326.0000
16384,0.1000,16,1638,71854,147745,2.0562,2.0562,4240.0000,7626.1250,6602.0000
16384,0.2000,16,3276,134130,255885,1.9077,1.9077,4240.0000,14591.6250,13154.0000
32768,0.0100,16,327,70090,94080,1.3423,1.3423,8336.0000,2066.0000,1358.0000
32768,0.0500,16,1638,82478,186967,2.2669,2.2669,8336.0000,8432.8750,6602.0000
32768,0.1000,16,3276,147166,297593,2.0222,2.0222,8336.0000,15709.1250,13154.0000
32768,0.2000,16,6553,277785,519968,1.8718,1.8718,8336.0000,30398.0000,26262.0000
65536,0.0100,16,655,138920,185752,1.3371,1.3371,16528.0000,4021.0000,2670.0000
65536,0.0500,16,3276,163454,371203,2.2710,2.2710,16528.0000,16718.3750,13154.0000
65536,0.1000,16,6553,297632,597159,2.0064,2.0064,16528.0000,31854.8750,26262.0000
65536,0.2000,16,13107,557256,1040295,1.8668,1.8668,16528.0000,61030.8750,52478.0000
131072,0.0100,16,1310,276421,366470,1.3258,1.3258,32912.0000,7606.7500,5290.0000
131072,0.0500,16,6553,325451,739498,2.2722,2.2722,32912.0000,33263.2500,26262.0000
131072,0.1000,16,13107,591106,1188833,2.0112,2.0112,32912.0000,63214.1250,52478.0000
131072,0.2000,16,26214,1136204,2100927,1.8491,1.8491,32912.0000,124797.8750,104906.0000
262144,0.0100,16,2621,550796,728731,1.3231,1.3231,65680.0000,14877.3750,10534.0000
262144,0.0500,16,13107,642752,1460340,2.2720,2.2720,65680.0000,64384.5000,52478.0000
262144,0.1000,16,26214,1172593,2366692,2.0183,2.0183,65680.0000,125250.5000,104906.0000
262144,0.2000,16,52428,2233408,4161499,1.8633,1.8633,65680.0000,244745.3750,209762.0000
524288,0.0100,16,5242,1099050,1442022,1.3121,1.3121,131216.0000,28018.7500,21018.0000
524288,0.0500,16,26214,1281019,2900705,2.2644,2.2644,131216.0000,126466.1250,104906.0000
524288,0.1000,16,52428,2345971,4732814,2.0174,2.0174,131216.0000,250623.7500,209762.0000
524288,0.2000,16,104857,4470729,8325584,1.8622,1.8622,131216.0000,490004.0000,419478.0000
